,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,Date,Hour,WeekDay,Month,Total_Booking
46,Summer,0,1, Clear + Few clouds,26.24,31.06,44,16.9979,1307923200000000000,20,Monday,June,331
47,Fall,0,1, Clear + Few clouds,26.24,31.06,33,0.0,1347321600000000000,12,Tuesday,September,316
48,Spring,0,0, Clear + Few clouds,14.76,16.665,81,19.0012,1293840000000000000,11,Saturday,January,56
49,Spring,0,1, Clear + Few clouds,9.02,11.365,51,11.0014,1294272000000000000,17,Thursday,January,172
50,Fall,0,1, Clear + Few clouds,32.8,39.395,63,8.9981,1342396800000000000,19,Monday,July,595
51,Winter,0,1, Clear + Few clouds,11.48,14.395,75,7.0015,1355875200000000000,9,Wednesday,December,317
52,Summer,0,1, Clear + Few clouds,24.6,31.06,43,12.998,1338854400000000000,18,Tuesday,June,790
53,Fall,0,1, Mist + Cloudy ,20.5,24.24,77,11.0014,1316390400000000000,4,Monday,September,8
54,Summer,0,1," Light Snow, Light Rain",22.96,26.515,88,8.9981,1337040000000000000,1,Tuesday,May,19
55,Summer,0,1, Mist + Cloudy ,27.06,31.06,69,16.9979,1339459200000000000,3,Tuesday,June,12
56,Summer,0,0, Mist + Cloudy ,29.52,32.575,37,7.0015,1339804800000000000,16,Saturday,June,542
57,Spring,0,1, Clear + Few clouds,6.56,8.335,47,11.0014,1294617600000000000,19,Monday,January,95
58,Spring,0,1, Clear + Few clouds,28.7,31.82,23,22.0028,1331683200000000000,14,Wednesday,March,224
59,Fall,0,1, Clear + Few clouds,22.96,26.515,52,12.998,1348012800000000000,10,Wednesday,September,192
60,Fall,0,0, Clear + Few clouds,31.16,34.09,45,19.0012,1310774400000000000,18,Saturday,July,428
61,Winter,0,0, Clear + Few clouds,14.76,17.425,62,8.9981,1355529600000000000,19,Saturday,December,257
62,Summer,0,0," Light Snow, Light Rain",30.34,34.09,58,7.0015,1308441600000000000,14,Sunday,June,317
63,Winter,0,0, Clear + Few clouds,19.68,23.485,36,19.0012,1321056000000000000,13,Saturday,November,353
64,Winter,0,1, Clear + Few clouds,16.4,20.455,87,0.0,1320796800000000000,22,Wednesday,November,114
65,Spring,0,0," Light Snow, Light Rain",9.84,11.365,93,12.998,1328313600000000000,20,Saturday,February,77
66,Winter,0,1, Clear + Few clouds,13.12,16.665,93,7.0015,1320710400000000000,1,Tuesday,November,11
67,Fall,0,1, Clear + Few clouds,26.24,30.305,73,8.9981,1342051200000000000,7,Thursday,July,512
68,Fall,0,1, Clear + Few clouds,32.8,35.605,41,19.9995,1313452800000000000,15,Tuesday,August,159
69,Spring,0,1, Mist + Cloudy ,8.2,11.365,64,6.0032,1326067200000000000,5,Monday,January,21
70,Summer,0,1, Clear + Few clouds,26.24,31.06,38,15.0013,1337299200000000000,18,Friday,May,669
71,Summer,0,1, Clear + Few clouds,28.7,31.82,39,0.0,1306972800000000000,2,Thursday,June,6
72,Fall,0,1, Clear + Few clouds,32.8,36.365,43,15.0013,1341878400000000000,16,Tuesday,July,435
73,Spring,0,1, Mist + Cloudy ,15.58,19.695,25,7.0015,1299542400000000000,13,Tuesday,March,98
74,Spring,0,1, Mist + Cloudy ,10.66,13.635,60,8.9981,1329177600000000000,10,Tuesday,February,98
75,Winter,0,1," Light Snow, Light Rain",14.76,16.665,87,16.9979,1349740800000000000,2,Tuesday,October,7
76,Spring,0,1," Light Snow, Light Rain",9.84,12.88,87,7.0015,1328659200000000000,18,Wednesday,February,167
77,Summer,0,1, Mist + Cloudy ,28.7,32.575,58,15.0013,1335830400000000000,12,Tuesday,May,269
78,Fall,0,1, Clear + Few clouds,26.24,31.06,50,12.998,1347408000000000000,19,Wednesday,September,635
79,Summer,0,0, Clear + Few clouds,26.24,30.305,73,6.0032,1339286400000000000,8,Sunday,June,181
80,Winter,0,1, Clear + Few clouds,17.22,21.21,41,6.0032,1322784000000000000,15,Friday,December,199
81,Winter,0,0, Clear + Few clouds,10.66,12.88,38,15.0013,1323475200000000000,18,Saturday,December,172
82,Spring,0,1, Mist + Cloudy ,24.6,31.06,43,12.998,1331510400000000000,18,Monday,March,712
83,Summer,0,1, Clear + Few clouds,22.96,26.515,49,15.0013,1338854400000000000,20,Tuesday,June,415
84,Spring,0,1, Clear + Few clouds,18.86,22.725,33,19.0012,1325808000000000000,19,Friday,January,272
85,Fall,0,0, Clear + Few clouds,26.24,28.79,83,8.9981,1315094400000000000,5,Sunday,September,6
86,Spring,0,0, Clear + Few clouds,8.2,8.335,32,32.9975,1294444800000000000,14,Saturday,January,95
87,Fall,0,1, Clear + Few clouds,27.06,31.06,69,19.9995,1310601600000000000,0,Thursday,July,46
88,Spring,0,1, Mist + Cloudy ,13.94,17.425,87,6.0032,1326240000000000000,15,Wednesday,January,79
89,Winter,0,1, Clear + Few clouds,13.12,15.91,49,11.0014,1352073600000000000,19,Monday,November,372
90,Winter,0,0, Clear + Few clouds,12.3,13.635,52,22.0028,1320451200000000000,2,Saturday,November,31
91,Winter,0,1, Clear + Few clouds,18.86,22.725,67,12.998,1317859200000000000,2,Thursday,October,10
92,Spring,0,1, Mist + Cloudy ,7.38,12.12,86,0.0,1296518400000000000,11,Tuesday,February,51
93,Fall,0,1, Clear + Few clouds,20.5,24.24,72,7.0015,1347321600000000000,7,Tuesday,September,596
94,Summer,1,0, Clear + Few clouds,28.7,31.82,45,19.9995,1334534400000000000,23,Monday,April,121
95,Winter,0,1, Clear + Few clouds,24.6,31.06,53,0.0,1317945600000000000,12,Friday,October,235
96,Spring,0,1, Mist + Cloudy ,6.56,7.575,86,15.0013,1294704000000000000,17,Tuesday,January,136
97,Spring,0,1, Clear + Few clouds,18.86,22.725,88,12.998,1332115200000000000,7,Monday,March,354
98,Winter,0,1, Clear + Few clouds,19.68,23.485,67,19.0012,1317686400000000000,10,Tuesday,October,126
99,Fall,0,1," Light Snow, Light Rain",27.88,31.82,89,7.0015,1312329600000000000,22,Wednesday,August,77
100,Fall,0,1, Mist + Cloudy ,26.24,29.545,78,8.9981,1343779200000000000,5,Wednesday,August,49
101,Winter,0,1, Mist + Cloudy ,13.94,17.425,66,7.0015,1351728000000000000,4,Thursday,November,10
102,Winter,0,0, Clear + Few clouds,9.84,11.365,65,12.998,1323475200000000000,7,Saturday,December,11
103,Summer,0,0, Clear + Few clouds,26.24,31.06,50,15.0013,1334448000000000000,20,Sunday,April,291
104,Fall,0,1, Clear + Few clouds,30.34,32.575,35,12.998,1313020800000000000,19,Thursday,August,371
105,Fall,0,1, Mist + Cloudy ,27.06,30.305,83,36.9974,1347926400000000000,8,Tuesday,September,672
106,Winter,0,1, Clear + Few clouds,13.12,15.15,53,16.9979,1352419200000000000,2,Friday,November,12
107,Summer,0,1, Clear + Few clouds,27.06,31.06,61,12.998,1304380800000000000,20,Tuesday,May,290
108,Summer,0,1, Clear + Few clouds,28.7,32.575,54,12.998,1337126400000000000,12,Wednesday,May,330
109,Summer,0,1, Clear + Few clouds,30.34,33.335,45,12.998,1335830400000000000,16,Tuesday,May,354
110,Spring,1,0, Clear + Few clouds,11.48,12.88,45,22.0028,1325462400000000000,4,Monday,January,4
111,Winter,0,1, Clear + Few clouds,18.04,21.97,67,7.0015,1320796800000000000,18,Wednesday,November,408
112,Winter,0,0, Clear + Few clouds,22.14,25.76,42,15.0013,1352592000000000000,16,Sunday,November,653
113,Fall,0,0, Clear + Few clouds,18.86,22.725,77,15.0013,1316304000000000000,0,Sunday,September,112
114,Summer,0,1, Clear + Few clouds,22.96,26.515,52,19.0012,1338768000000000000,22,Monday,June,168
115,Summer,0,1, Clear + Few clouds,27.06,31.06,31,7.0015,1304985600000000000,16,Tuesday,May,327
116,Winter,0,1, Clear + Few clouds,16.4,20.455,43,26.0027,1349913600000000000,9,Thursday,October,355
117,Winter,0,0," Light Snow, Light Rain",17.22,21.21,77,8.9981,1349568000000000000,15,Sunday,October,306
118,Winter,0,1, Clear + Few clouds,18.04,21.97,67,6.0032,1320278400000000000,19,Thursday,November,252
119,Summer,0,1, Clear + Few clouds,31.16,33.335,25,31.0009,1306972800000000000,12,Thursday,June,232
120,Winter,0,0, Clear + Few clouds,9.02,11.365,55,12.998,1323561600000000000,19,Sunday,December,105
121,Winter,0,1, Clear + Few clouds,17.22,21.21,38,8.9981,1353024000000000000,15,Friday,November,267
122,Fall,0,1," Light Snow, Light Rain",29.52,34.85,79,7.0015,1342396800000000000,0,Monday,July,43
123,Spring,0,1, Mist + Cloudy ,27.06,31.06,41,6.0032,1331769600000000000,13,Thursday,March,273
124,Winter,0,1, Mist + Cloudy ,18.86,22.725,88,6.0032,1349827200000000000,0,Wednesday,October,33
125,Winter,0,1, Clear + Few clouds,15.58,19.695,94,0.0,1355788800000000000,8,Tuesday,December,662
126,Summer,0,1, Clear + Few clouds,26.24,30.305,73,6.0032,1340064000000000000,10,Tuesday,June,180
127,Fall,0,1," Light Snow, Light Rain",22.96,26.515,94,0.0,1315353600000000000,12,Wednesday,September,22
128,Spring,0,0, Clear + Few clouds,18.86,22.725,82,8.9981,1332028800000000000,1,Sunday,March,113
129,Summer,0,0, Clear + Few clouds,11.48,15.15,70,6.0032,1301788800000000000,4,Sunday,April,3
130,Summer,0,1, Mist + Cloudy ,26.24,31.06,44,19.0012,1333497600000000000,16,Wednesday,April,390
131,Summer,1,0, Mist + Cloudy ,20.5,24.24,63,26.0027,1302825600000000000,17,Friday,April,331
132,Winter,0,1," Light Snow, Light Rain",22.14,25.76,94,26.0027,1318377600000000000,4,Wednesday,October,7
133,Fall,0,0, Mist + Cloudy ,27.06,31.06,36,16.9979,1347667200000000000,17,Saturday,September,729
134,Winter,0,0, Mist + Cloudy ,14.76,18.94,93,0.0,1354924800000000000,4,Saturday,December,12
135,Winter,0,1, Mist + Cloudy ,15.58,19.695,82,16.9979,1349740800000000000,6,Tuesday,October,143
136,Spring,0,1," Light Snow, Light Rain",9.02,11.365,75,11.0014,1326067200000000000,15,Monday,January,69
137,Fall,0,0, Clear + Few clouds,25.42,30.305,69,7.0015,1309564800000000000,6,Saturday,July,32
138,Summer,0,0, Clear + Few clouds,17.22,21.21,26,19.9995,1333756800000000000,0,Saturday,April,94
139,Winter,0,0, Clear + Few clouds,18.04,21.97,88,0.0,1318118400000000000,6,Sunday,October,21
140,Winter,0,0, Clear + Few clouds,11.48,14.395,81,7.0015,1353196800000000000,2,Sunday,November,73
141,Fall,0,1, Mist + Cloudy ,32.8,37.12,52,8.9981,1344384000000000000,10,Wednesday,August,214
142,Spring,0,1, Mist + Cloudy ,12.3,15.15,70,11.0014,1329350400000000000,9,Thursday,February,202
143,Winter,0,1, Clear + Few clouds,9.02,10.605,55,19.0012,1354752000000000000,5,Thursday,December,32
144,Winter,0,1, Clear + Few clouds,13.12,17.425,93,0.0,1320796800000000000,8,Wednesday,November,456
145,Spring,0,0, Mist + Cloudy ,9.84,12.12,75,11.0014,1328400000000000000,8,Sunday,February,62
146,Winter,0,1," Light Snow, Light Rain",18.86,22.725,100,11.0014,1323216000000000000,5,Wednesday,December,3
147,Fall,0,1, Clear + Few clouds,30.34,33.335,51,19.9995,1315872000000000000,15,Tuesday,September,180
148,Fall,0,1, Mist + Cloudy ,22.14,25.76,88,26.0027,1315267200000000000,17,Tuesday,September,291
149,Spring,0,1, Mist + Cloudy ,11.48,15.15,65,6.0032,1328832000000000000,0,Friday,February,43
150,Spring,0,0, Clear + Few clouds,17.22,21.21,54,11.0014,1299888000000000000,18,Saturday,March,145
151,Winter,0,0, Clear + Few clouds,13.94,15.91,66,15.0013,1321142400000000000,7,Sunday,November,43
152,Spring,0,0, Clear + Few clouds,18.86,22.725,31,19.0012,1331424000000000000,14,Sunday,March,501
153,Winter,0,1, Clear + Few clouds,17.22,21.21,82,19.0012,1317686400000000000,7,Tuesday,October,309
154,Fall,0,0, Mist + Cloudy ,22.14,25.76,68,7.0015,1316304000000000000,19,Sunday,September,245
155,Winter,0,1, Mist + Cloudy ,12.3,13.635,56,19.9995,1352246400000000000,19,Wednesday,November,319
156,Fall,0,0, Mist + Cloudy ,27.06,31.06,36,15.0013,1347667200000000000,16,Saturday,September,783
157,Summer,0,0, Clear + Few clouds,29.52,32.575,30,7.0015,1337385600000000000,15,Saturday,May,672
158,Fall,0,1, Clear + Few clouds,33.62,37.88,46,12.998,1343865600000000000,16,Thursday,August,406
159,Spring,0,0, Clear + Few clouds,24.6,30.305,60,7.0015,1331942400000000000,13,Saturday,March,686
160,Winter,0,1, Clear + Few clouds,9.84,14.395,65,0.0,1323388800000000000,1,Friday,December,14
161,Fall,0,1, Clear + Few clouds,26.24,30.305,69,11.0014,1316044800000000000,1,Thursday,September,20
162,Fall,0,0, Clear + Few clouds,26.24,28.79,89,6.0032,1312588800000000000,5,Saturday,August,6
163,Summer,0,1, Mist + Cloudy ,24.6,28.79,78,8.9981,1340064000000000000,7,Tuesday,June,480
164,Fall,0,0, Clear + Few clouds,28.7,33.335,79,6.0032,1341100800000000000,6,Sunday,July,27
165,Spring,0,0," Light Snow, Light Rain",17.22,21.21,88,16.9979,1293840000000000000,18,Saturday,January,35
166,Spring,0,1, Clear + Few clouds,13.94,16.665,25,8.9981,1329091200000000000,19,Monday,February,263
167,Fall,0,1, Clear + Few clouds,27.06,31.06,74,7.0015,1312243200000000000,1,Tuesday,August,12
168,Fall,0,0, Clear + Few clouds,29.52,33.335,51,19.9995,1315699200000000000,16,Sunday,September,483
169,Fall,0,1, Clear + Few clouds,26.24,29.545,78,11.0014,1310947200000000000,4,Monday,July,4
170,Winter,0,0, Mist + Cloudy ,18.04,21.97,72,6.0032,1349568000000000000,13,Sunday,October,320
171,Spring,0,0, Mist + Cloudy ,8.2,9.09,59,23.9994,1294444800000000000,12,Saturday,January,98
172,Winter,0,0," Light Snow, Light Rain",14.76,17.425,93,8.9981,1355011200000000000,17,Sunday,December,229
173,Spring,0,1, Clear + Few clouds,8.2,11.365,51,6.0032,1325721600000000000,1,Thursday,January,5
174,Summer,0,1, Clear + Few clouds,18.86,22.725,67,19.0012,1303171200000000000,2,Tuesday,April,13
175,Summer,0,1," Light Snow, Light Rain",13.94,15.15,93,23.9994,1304467200000000000,7,Wednesday,May,52
176,Fall,0,0, Clear + Few clouds,29.52,34.09,62,16.9979,1315612800000000000,11,Saturday,September,360
177,Summer,0,1, Clear + Few clouds,27.88,31.06,26,19.0012,1307059200000000000,19,Friday,June,391
178,Fall,0,1, Clear + Few clouds,30.34,34.09,55,22.0028,1313366400000000000,16,Monday,August,283
179,Spring,0,1, Clear + Few clouds,17.22,21.21,28,31.0009,1331251200000000000,14,Friday,March,178
180,Spring,0,1, Clear + Few clouds,9.02,11.365,51,11.0014,1330905600000000000,3,Monday,March,1
181,Spring,0,1, Clear + Few clouds,9.02,10.605,69,19.0012,1298937600000000000,3,Tuesday,March,2
182,Spring,0,1, Clear + Few clouds,13.94,14.395,36,35.0008,1326844800000000000,6,Wednesday,January,88
183,Summer,0,1, Clear + Few clouds,25.42,31.06,41,12.998,1337299200000000000,12,Friday,May,360
184,Winter,0,0, Clear + Few clouds,17.22,21.21,71,12.998,1352592000000000000,23,Sunday,November,109
185,Summer,0,1, Clear + Few clouds,22.14,25.76,64,26.0027,1307923200000000000,5,Monday,June,29
186,Winter,0,0, Clear + Few clouds,10.66,15.15,81,0.0,1355529600000000000,2,Saturday,December,69
187,Winter,0,0, Clear + Few clouds,12.3,15.91,61,6.0032,1322870400000000000,20,Saturday,December,127
188,Fall,0,1, Clear + Few clouds,30.34,34.85,66,7.0015,1312761600000000000,23,Monday,August,72
189,Summer,0,1, Clear + Few clouds,16.4,20.455,50,19.9995,1334188800000000000,10,Thursday,April,141
190,Fall,0,0, Clear + Few clouds,27.88,31.82,69,6.0032,1310256000000000000,2,Sunday,July,96
191,Fall,0,0, Clear + Few clouds,27.06,29.545,89,6.0032,1346457600000000000,23,Saturday,September,145
192,Spring,0,1, Clear + Few clouds,8.2,8.335,44,27.9993,1294012800000000000,1,Monday,January,2
193,Winter,0,0, Mist + Cloudy ,10.66,12.88,60,12.998,1324080000000000000,5,Saturday,December,9
194,Winter,0,1, Mist + Cloudy ,10.66,13.635,65,7.0015,1352937600000000000,1,Thursday,November,16
195,Summer,0,0, Clear + Few clouds,23.78,27.275,49,0.0,1304812800000000000,18,Sunday,May,268
196,Spring,0,1, Mist + Cloudy ,12.3,16.665,81,0.0,1297036800000000000,23,Monday,February,25
197,Winter,0,1, Mist + Cloudy ,24.6,29.545,73,11.0014,1318291200000000000,16,Tuesday,October,320
198,Winter,0,1, Mist + Cloudy ,20.5,24.24,72,11.0014,1349740800000000000,19,Tuesday,October,514
199,Summer,0,1, Clear + Few clouds,24.6,28.79,78,8.9981,1337212800000000000,0,Thursday,May,79
200,Fall,0,0, Clear + Few clouds,21.32,25.0,63,0.0,1347753600000000000,2,Sunday,September,89
201,Summer,0,1, Clear + Few clouds,27.06,29.545,89,8.9981,1307491200000000000,0,Wednesday,June,41
202,Fall,0,0, Clear + Few clouds,31.16,34.09,45,15.0013,1310774400000000000,17,Saturday,July,475
203,Winter,0,0, Mist + Cloudy ,16.4,20.455,87,16.9979,1355011200000000000,9,Sunday,December,103
204,Summer,0,1," Light Snow, Light Rain",22.14,25.76,52,23.9994,1304640000000000000,18,Friday,May,470
205,Fall,0,1, Mist + Cloudy ,27.06,30.305,83,15.0013,1341792000000000000,5,Monday,July,28
206,Summer,0,1, Clear + Few clouds,13.94,15.91,61,15.0013,1334275200000000000,7,Friday,April,296
207,Winter,0,1," Light Snow, Light Rain",13.12,15.15,81,22.0028,1352764800000000000,9,Tuesday,November,110
208,Winter,0,1, Clear + Few clouds,16.4,20.455,66,7.0015,1350000000000000000,0,Friday,October,68
209,Fall,1,0, Mist + Cloudy ,27.88,31.82,79,19.0012,1315180800000000000,16,Monday,September,284
210,Spring,0,1," Light Snow, Light Rain",13.12,15.15,81,16.9979,1326758400000000000,9,Tuesday,January,68
211,Spring,0,1, Clear + Few clouds,5.74,7.575,50,8.9981,1329091200000000000,10,Monday,February,71
212,Fall,0,0," Light Snow, Light Rain",30.34,35.605,79,11.0014,1312588800000000000,17,Saturday,August,149
213,Summer,0,1, Mist + Cloudy ,29.52,32.575,37,27.9993,1339545600000000000,14,Wednesday,June,320
214,Summer,0,0, Clear + Few clouds,22.14,25.76,64,7.0015,1307145600000000000,1,Saturday,June,94
215,Winter,0,1, Mist + Cloudy ,10.66,11.365,56,19.9995,1352246400000000000,7,Wednesday,November,319
216,Fall,0,1, Clear + Few clouds,35.26,40.91,50,12.998,1311033600000000000,14,Tuesday,July,152
217,Fall,0,0," Light Snow, Light Rain",27.06,30.305,83,19.9995,1313280000000000000,0,Sunday,August,90
218,Spring,0,1, Mist + Cloudy ,13.94,14.395,36,32.9975,1331251200000000000,10,Friday,March,159
219,Summer,0,1, Mist + Cloudy ,23.78,27.275,78,7.0015,1336953600000000000,23,Monday,May,75
220,Summer,0,1, Clear + Few clouds,28.7,32.575,58,12.998,1308268800000000000,9,Friday,June,224
221,Summer,0,1, Clear + Few clouds,21.32,25.0,29,23.9994,1302048000000000000,18,Wednesday,April,325
222,Spring,0,1, Clear + Few clouds,11.48,12.88,61,19.9995,1331078400000000000,8,Wednesday,March,566
223,Fall,0,0, Clear + Few clouds,27.88,31.82,79,15.0013,1309651200000000000,8,Sunday,July,92
224,Fall,1,0, Clear + Few clouds,37.72,42.425,35,19.9995,1341360000000000000,17,Wednesday,July,414
225,Winter,0,0, Clear + Few clouds,12.3,16.665,70,0.0,1355529600000000000,0,Saturday,December,94
226,Spring,0,0, Mist + Cloudy ,8.2,10.605,69,8.9981,1297555200000000000,6,Sunday,February,5
227,Spring,0,1, Clear + Few clouds,10.66,13.635,70,8.9981,1328486400000000000,11,Monday,February,116
228,Fall,0,1, Mist + Cloudy ,32.8,38.635,59,15.0013,1312848000000000000,10,Tuesday,August,144
229,Spring,0,0," Light Snow, Light Rain",9.02,11.365,93,8.9981,1296864000000000000,4,Saturday,February,8
230,Winter,0,0, Clear + Few clouds,12.3,16.665,65,0.0,1320451200000000000,22,Saturday,November,82
231,Winter,0,1, Clear + Few clouds,14.76,16.665,43,19.0012,1352851200000000000,15,Wednesday,November,260
232,Winter,0,1, Mist + Cloudy ,10.66,15.15,65,0.0,1352937600000000000,0,Thursday,November,34
233,Summer,0,0, Clear + Few clouds,24.6,31.06,49,0.0,1304812800000000000,15,Sunday,May,358
234,Fall,0,1," Light Snow, Light Rain",22.14,25.76,94,26.0027,1315267200000000000,15,Tuesday,September,89
235,Spring,0,1, Clear + Few clouds,18.86,22.725,72,26.0027,1326758400000000000,22,Tuesday,January,90
236,Winter,0,0," Light Snow, Light Rain",14.76,17.425,87,12.998,1317513600000000000,16,Sunday,October,206
237,Summer,0,1," Light Snow, Light Rain",24.6,28.79,78,16.9979,1336435200000000000,22,Tuesday,May,147
238,Summer,0,0, Mist + Cloudy ,22.14,25.76,94,8.9981,1305417600000000000,8,Sunday,May,70
239,Fall,0,1, Clear + Few clouds,31.16,34.09,40,7.0015,1345075200000000000,19,Thursday,August,677
240,Winter,0,0, Clear + Few clouds,20.5,24.24,45,15.0013,1318723200000000000,9,Sunday,October,190
241,Fall,0,1, Clear + Few clouds,32.8,37.12,49,8.9981,1341446400000000000,8,Thursday,July,550
242,Winter,0,1, Clear + Few clouds,14.76,18.18,81,6.0032,1317600000000000000,1,Monday,October,6
243,Summer,1,0, Clear + Few clouds,22.14,25.76,52,30.0026,1302825600000000000,15,Friday,April,162
244,Summer,0,0, Mist + Cloudy ,29.52,32.575,37,16.9979,1339804800000000000,17,Saturday,June,593
245,Summer,0,0, Mist + Cloudy ,25.42,30.305,61,7.0015,1307232000000000000,6,Sunday,June,21
246,Fall,0,1, Clear + Few clouds,29.52,34.09,66,0.0,1312848000000000000,1,Tuesday,August,14
247,Winter,0,0, Clear + Few clouds,11.48,14.395,81,8.9981,1353196800000000000,5,Sunday,November,12
248,Spring,0,1, Clear + Few clouds,7.38,10.605,51,6.0032,1296691200000000000,22,Thursday,February,41
249,Fall,0,1, Mist + Cloudy ,27.88,31.82,54,7.0015,1342137600000000000,1,Friday,July,59
250,Fall,0,1, Clear + Few clouds,27.88,31.82,69,8.9981,1315872000000000000,10,Tuesday,September,135
251,Summer,0,0, Clear + Few clouds,25.42,31.06,43,8.9981,1307145600000000000,9,Saturday,June,224
252,Fall,0,1, Clear + Few clouds,29.52,34.09,70,19.0012,1344556800000000000,23,Friday,August,192
253,Winter,0,0, Clear + Few clouds,18.86,22.725,44,8.9981,1318723200000000000,0,Sunday,October,107
254,Fall,0,1, Clear + Few clouds,29.52,34.85,74,16.9979,1309910400000000000,20,Wednesday,July,312
